state,homes_millions,avg_total_sqft,avg_heated_sqft,avg_cooled_sqft,median_total_sqft,pct_single_family,pct_detached,pct_basement,pct_basement_finished_of_basements,pct_basement_heated_of_basements,pct_basement_cooled_of_basements,pct_finished_basement_all_homes,pct_owners_count_basement_in_sqft,pct_attic,pct_attic_finished_of_attics,pct_attic_heated_of_attics,pct_owners_count_attic_in_sqft,pct_attached_garage,pct_garage_1car_of_garages,pct_garage_2car_of_garages,pct_garage_3plus_car_of_garages,pct_owners_count_garage_in_sqft,pct_stories_1,pct_stories_2,pct_stories_3plus,pct_stories_split_level,pct_heat_furnace,pct_heat_central_heat_pump,pct_heat_mini_split,pct_heat_boiler,pct_heat_electric_baseboard,pct_no_heating,pct_ac_central,pct_ac_mini_split,pct_ac_window,pct_no_ac,avg_full_baths,avg_half_baths,pct_2plus_full_baths,pct_built_2000_or_later,pct_built_before_1950,climate_zone_main,climate_zone_main_pct,iecc_zone_main
OH,3.542,2381.0,2168.0,1835.0,2100.0,100.0,94.6,80.7,48.1,74.0,58.7,38.8,29.9,65.7,12.5,7.7,10.8,65.5,20.7,67.3,12.0,15.0,44.6,49.9,2.2,3.3,84.2,6.5,0.4,3.6,3.2,0.0,82.2,0.4,9.7,6.0,1.77,0.52,59.8,15.4,24.9,Cold,91.5,5A
OK,1.128,1962.0,1765.0,1654.0,1700.0,100.0,96.4,3.8,,,,2.7,,86.6,15.2,4.4,10.4,70.0,19.8,60.0,20.2,26.3,87.2,12.4,0.0,0.4,75.3,12.3,1.0,0.0,1.7,0.0,88.8,0.0,9.6,1.6,1.85,0.29,66.8,22.9,9.7,Mixed-Humid,100.0,3A
OR,1.168,1986.0,1861.0,1308.0,1800.0,100.0,94.1,26.6,77.6,67.9,52.5,20.6,53.2,58.6,15.0,6.6,11.4,66.4,18.2,67.9,14.0,22.6,55.4,36.2,3.9,4.6,62.9,15.0,1.9,0.8,7.1,0.6,60.4,2.6,10.4,22.0,1.92,0.31,73.2,20.4,16.9,Marine,86.8,4C
PA,3.909,2330.0,2016.0,1387.0,2130.0,100.0,79.0,87.7,54.1,59.9,32.4,47.5,34.0,60.1,23.2,12.1,23.7,51.6,42.4,50.8,6.8,17.8,27.2,62.8,7.1,2.9,61.1,7.5,1.1,18.8,5.3,0.2,56.5,3.1,27.0,9.5,1.66,0.57,53.9,12.5,35.1,Cold,70.9,5A
RI,0.265,2343.0,1934.0,1155.0,2280.0,100.0,94.8,87.3,50.3,50.7,18.8,43.9,31.7,64.3,16.4,6.3,21.1,44.7,34.2,56.5,9.4,21.7,28.4,60.6,6.7,4.3,57.4,0.0,1.3,34.1,2.5,0.7,35.7,3.3,50.5,6.1,1.7,0.53,55.6,9.8,30.2,Cold,100.0,5A
SC,1.376,2044.0,1843.0,1743.0,1850.0,100.0,92.9,9.6,62.3,58.5,59.1,6.0,37.8,83.0,14.5,6.3,10.7,49.0,22.7,72.2,5.1,27.5,65.1,33.0,1.5,0.4,47.7,42.7,0.9,0.0,0.9,1.4,87.6,0.0,6.2,5.7,2.08,0.35,82.0,36.0,6.1,Mixed-Humid,74.5,3A
SD,0.252,2448.0,2267.0,1911.0,2200.0,100.0,93.7,84.2,76.4,83.8,72.0,64.3,58.4,63.2,9.5,3.6,14.3,70.2,21.3,50.2,28.5,12.6,62.6,30.1,2.1,5.2,78.8,5.7,0.8,8.1,3.7,0.0,84.6,0.6,9.2,4.9,2.04,0.32,76.2,27.5,19.4,Cold,100.0,6A
TN,1.961,2253.0,1931.0,1791.0,2000.0,100.0,96.5,29.3,52.9,53.8,48.9,15.5,42.0,74.4,18.1,5.6,13.5,51.9,18.2,71.6,10.2,24.8,66.3,30.3,1.1,2.4,57.2,32.2,1.1,0.3,2.1,0.4,87.7,0.0,6.5,5.8,1.92,0.33,70.6,23.6,12.2,Mixed-Humid,100.0,4A
TX,7.03,2087.0,1846.0,1795.0,1850.0,100.0,96.5,2.5,52.1,19.4,17.7,1.3,33.5,78.7,15.7,2.6,11.5,68.0,16.1,71.7,12.2,30.9,72.2,26.0,1.0,0.8,70.4,14.5,0.8,0.5,1.7,3.1,85.0,0.5,9.7,3.2,2.04,0.38,81.0,32.6,7.2,Hot-Humid,86.9,2A
UT,0.815,2461.0,2370.0,2027.0,2300.0,100.0,89.7,73.2,88.4,91.0,73.4,64.7,74.7,54.1,10.1,6.7,20.8,75.8,14.6,66.5,18.9,22.5,66.7,25.6,5.4,2.3,92.6,1.8,0.6,3.7,0.6,0.0,86.3,0.6,2.4,7.0,2.33,0.39,85.0,39.0,8.7,Cold,90.3,5B
VA,2.272,2395.0,2185.0,1992.0,2170.0,100.0,88.4,47.1,73.1,76.7,71.3,34.5,56.2,75.5,14.1,7.3,17.2,48.0,32.1,63.4,4.5,26.7,36.1,55.3,5.0,3.6,58.8,26.7,1.2,4.8,1.4,0.3,83.3,1.3,9.4,4.7,2.16,0.54,77.5,20.0,11.9,Mixed-Humid,100.0,4A
VT,0.169,2354.0,2052.0,401.0,2250.0,100.0,94.3,82.2,39.7,56.0,4.0,32.6,25.8,54.3,14.2,8.9,18.7,42.9,29.9,64.1,6.0,16.7,26.9,66.3,3.0,3.9,47.5,0.4,1.7,28.0,0.9,0.0,6.0,9.2,41.3,35.7,1.7,0.46,55.1,13.2,27.6,Cold,100.0,6A
WA,1.881,2081.0,1907.0,878.0,2000.0,100.0,95.7,28.8,78.4,77.3,47.7,22.6,61.3,57.8,15.6,5.3,8.2,63.3,19.5,65.3,15.2,26.3,48.4,41.2,4.4,6.0,62.7,9.2,5.7,1.6,11.9,1.3,37.3,5.0,8.3,41.5,1.9,0.48,72.4,21.7,20.9,Marine,76.1,4C
WI,1.741,2470.0,2267.0,1836.0,2380.0,100.0,93.9,94.8,48.5,77.3,56.2,46.0,31.5,59.0,8.9,9.8,10.9,58.8,19.8,61.8,18.4,7.6,52.2,40.8,3.1,3.9,88.4,0.8,0.0,6.1,0.9,0.4,81.3,1.1,11.3,5.2,1.59,0.46,49.8,13.0,26.4,Cold,94.9,6A
WV,0.51,2219.0,1955.0,1517.0,2000.0,100.0,93.1,54.9,50.0,66.1,52.6,27.5,45.4,62.5,19.4,8.6,20.2,36.7,27.7,66.4,5.9,23.6,55.1,42.3,0.6,2.0,55.3,20.5,0.0,4.7,7.9,0.8,65.9,0.7,23.5,9.1,1.69,0.4,53.6,16.8,21.6,Mixed-Humid,53.4,4A
WY,0.168,2212.0,2109.0,1278.0,1900.0,100.0,92.5,73.9,80.9,85.2,49.3,59.8,71.1,52.6,4.9,9.7,20.9,60.4,22.5,60.2,17.2,19.1,63.4,31.1,2.4,3.1,71.2,1.3,0.0,11.3,6.2,0.0,46.6,0.6,12.8,24.8,2.0,0.28,74.0,14.8,19.4,Cold,97.6,6B
