geo,year,houses_completed_thousands,sqft_under_1400,sqft_1400_1799,sqft_1800_2399,sqft_2400_2999,sqft_3000_3999,sqft_4000_plus,garage_1_car,garage_2_car,garage_3_plus_car,carport,no_garage_or_carport,any_garage,basement_full_or_partial,slab_or_other,crawl_space,baths_1_5_or_less,baths_2,baths_2_5,baths_3_plus,heat_forced_air_furnace,heat_pump_total,heat_pump_air_source,heat_pump_ground_source,heat_hot_water_or_steam,heat_other_or_none,with_ac,without_ac,no_fireplace,fireplace_1,fireplace_2_plus,median_sqft,average_sqft,stories_1,stories_2,stories_3_plus,lot_under_7000,lot_7000_8999,lot_9000_10999,lot_11000_21999,lot_22000_plus,with_basement_total,laundry_in_basement,with_basement_laundry_first_floor,with_basement_laundry_higher_floor,without_basement_total,without_basement_laundry_first_floor,without_basement_laundry_higher_floor,with_foyer_total,with_foyer_2_stories,with_foyer_3_plus,without_foyer_total,without_foyer_2_stories,without_foyer_3_plus,patio_only,porch_only,deck_only,patio_and_porch,porch_and_deck,patio_and_deck,patio_porch_and_deck,no_outdoor_feature,any_patio,any_porch,any_deck,bedrooms_2_or_less,bedrooms_3,bedrooms_4_plus
South,2021,547.0,6.0,16.0,33.0,22.0,16.0,7.0,6.0,73.0,11.0,1.0,9.0,90.0,6.0,83.0,12.0,2.0,40.0,25.0,33.0,42.0,57.0,57.0,1.0,,,100.0,,67.0,28.0,5.0,2295.0,2491.0,52.0,44.0,4.0,35.0,24.0,7.0,17.0,17.0,6.0,,3.0,3.0,94.0,74.0,20.0,14.0,13.0,,86.0,31.0,3.0,27.0,17.0,4.0,36.0,6.0,1.0,3.0,7.0,67.0,62.0,14.0,7.0,45.0,48.0
South,2022,593.0,6.0,15.0,34.0,22.0,16.0,8.0,7.0,70.0,12.0,1.0,9.0,90.0,5.0,85.0,10.0,2.0,37.0,25.0,36.0,38.0,61.0,61.0,,,,100.0,,68.0,27.0,5.0,2319.0,2536.0,51.0,46.0,3.0,34.0,24.0,6.0,18.0,18.0,5.0,,3.0,2.0,95.0,74.0,20.0,14.0,14.0,1.0,86.0,32.0,3.0,28.0,15.0,3.0,39.0,5.0,1.0,3.0,6.0,71.0,62.0,12.0,6.0,43.0,52.0
South,2023,598.0,7.0,16.0,32.0,21.0,16.0,8.0,7.0,70.0,11.0,2.0,9.0,89.0,5.0,86.0,9.0,3.0,38.0,25.0,35.0,38.0,61.0,61.0,,,,100.0,,72.0,25.0,3.0,2270.0,2506.0,52.0,44.0,4.0,36.0,24.0,5.0,17.0,18.0,5.0,,3.0,2.0,95.0,76.0,18.0,14.0,14.0,1.0,86.0,31.0,3.0,28.0,14.0,3.0,41.0,6.0,1.0,3.0,5.0,73.0,64.0,13.0,8.0,44.0,48.0
South,2024,591.0,8.0,21.0,34.0,19.0,13.0,6.0,10.0,68.0,10.0,2.0,10.0,88.0,4.0,88.0,8.0,2.0,38.0,29.0,31.0,36.0,63.0,63.0,,,,100.0,,75.0,21.0,3.0,2158.0,2376.0,50.0,47.0,4.0,39.0,22.0,5.0,18.0,16.0,4.0,,2.0,2.0,96.0,74.0,21.0,14.0,13.0,,86.0,33.0,3.0,26.0,15.0,3.0,42.0,5.0,1.0,3.0,4.0,72.0,65.0,12.0,8.0,47.0,45.0
South,2025,584.0,9.0,21.0,32.0,19.0,13.0,7.0,11.0,66.0,11.0,2.0,10.0,88.0,4.0,88.0,8.0,3.0,36.0,29.0,32.0,36.0,63.0,63.0,,,1.0,100.0,,77.0,20.0,3.0,2162.0,2396.0,51.0,45.0,4.0,36.0,24.0,5.0,18.0,17.0,4.0,,2.0,2.0,96.0,74.0,21.0,13.0,12.0,1.0,87.0,33.0,3.0,24.0,15.0,3.0,41.0,5.0,1.0,4.0,7.0,70.0,65.0,13.0,8.0,48.0,44.0
US,1971,1014.0,,,,,,,18.0,39.0,,17.0,26.0,57.0,36.0,38.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1972,1143.0,,,,,,,19.0,42.0,,17.0,22.0,61.0,37.0,39.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1973,1197.0,,,,,,,17.0,48.0,,13.0,22.0,65.0,41.0,38.0,21.0,40.0,41.0,19.0,,74.0,,,,6.0,20.0,49.0,51.0,56.0,39.0,5.0,1525.0,1660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1974,940.0,,,,,,,16.0,52.0,,10.0,22.0,68.0,45.0,36.0,19.0,40.0,40.0,21.0,,73.0,,,,6.0,21.0,48.0,52.0,51.0,43.0,6.0,1560.0,1695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1975,875.0,,,,,,,14.0,53.0,,9.0,24.0,67.0,45.0,35.0,20.0,41.0,40.0,20.0,,72.0,,,,6.0,21.0,46.0,54.0,48.0,46.0,6.0,1535.0,1645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1976,1034.0,,,,,,,13.0,59.0,,8.0,20.0,72.0,45.0,36.0,19.0,33.0,45.0,22.0,,76.0,,,,6.0,18.0,49.0,51.0,42.0,52.0,6.0,1590.0,1700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1977,1258.0,,,,,,,14.0,60.0,,7.0,19.0,74.0,44.0,38.0,18.0,30.0,47.0,23.0,,78.0,,,,5.0,17.0,54.0,46.0,39.0,55.0,6.0,1610.0,1720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1978,1369.0,,,,,,,12.0,62.0,,7.0,18.0,75.0,42.0,40.0,18.0,26.0,48.0,25.0,,57.0,25.0,,,5.0,14.0,58.0,42.0,36.0,58.0,6.0,1655.0,1755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1979,1301.0,,,,,,,12.0,62.0,,7.0,20.0,73.0,42.0,39.0,19.0,27.0,48.0,26.0,,56.0,26.0,,,5.0,14.0,60.0,40.0,38.0,56.0,6.0,1645.0,1760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1980,957.0,,,,,,,13.0,56.0,,7.0,24.0,69.0,36.0,45.0,19.0,28.0,48.0,25.0,,57.0,24.0,,,4.0,15.0,63.0,37.0,43.0,51.0,5.0,1595.0,1740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1981,819.0,,,,,,,13.0,53.0,,8.0,25.0,67.0,33.0,47.0,20.0,30.0,46.0,24.0,,56.0,25.0,,,3.0,16.0,65.0,35.0,45.0,50.0,4.0,1550.0,1720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1982,632.0,,,,,,,15.0,50.0,,8.0,27.0,65.0,31.0,49.0,20.0,33.0,45.0,22.0,,53.0,26.0,,,4.0,17.0,66.0,34.0,46.0,50.0,4.0,1520.0,1710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1983,924.0,,,,,,,14.0,54.0,,7.0,25.0,68.0,32.0,51.0,17.0,28.0,48.0,24.0,,56.0,29.0,,,4.0,12.0,70.0,30.0,43.0,53.0,4.0,1565.0,1725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1984,1025.0,,,,,,,14.0,56.0,,5.0,25.0,70.0,32.0,50.0,18.0,24.0,48.0,28.0,,55.0,30.0,,,4.0,11.0,71.0,29.0,41.0,54.0,5.0,1605.0,1780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1985,1072.0,,,,,,,15.0,55.0,,5.0,25.0,70.0,35.0,48.0,18.0,24.0,48.0,29.0,,54.0,30.0,,,5.0,11.0,70.0,30.0,41.0,54.0,5.0,1605.0,1785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1986,1120.0,,,,,,,14.0,60.0,,4.0,21.0,75.0,37.0,45.0,18.0,19.0,47.0,33.0,,54.0,29.0,,,7.0,10.0,69.0,31.0,38.0,58.0,5.0,1660.0,1825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1987,1123.0,,,,,,,14.0,65.0,,3.0,18.0,79.0,39.0,43.0,18.0,17.0,45.0,26.0,12.0,57.0,27.0,,,7.0,9.0,71.0,29.0,38.0,57.0,5.0,1755.0,1905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1988,1085.0,,,,,,,12.0,66.0,,3.0,18.0,79.0,39.0,41.0,19.0,15.0,44.0,28.0,14.0,60.0,26.0,,,7.0,8.0,75.0,25.0,35.0,59.0,6.0,1810.0,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1989,1026.0,,,,,,,10.0,70.0,,3.0,17.0,80.0,37.0,43.0,19.0,14.0,42.0,28.0,16.0,63.0,24.0,,,6.0,7.0,77.0,23.0,35.0,58.0,7.0,1850.0,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1990,966.0,,,,,,,10.0,72.0,,2.0,16.0,82.0,38.0,40.0,21.0,13.0,42.0,27.0,18.0,65.0,23.0,,,6.0,6.0,76.0,24.0,34.0,58.0,8.0,1905.0,2080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1991,838.0,,,,,,,10.0,71.0,,3.0,17.0,80.0,40.0,38.0,22.0,14.0,43.0,27.0,17.0,65.0,23.0,,,6.0,7.0,75.0,25.0,37.0,56.0,6.0,1890.0,2075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1992,964.0,,,,,,,8.0,64.0,11.0,2.0,15.0,83.0,42.0,38.0,20.0,13.0,40.0,33.0,14.0,66.0,24.0,,,6.0,5.0,77.0,23.0,37.0,58.0,6.0,1920.0,2095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1993,1039.0,,,,,,,7.0,65.0,12.0,2.0,14.0,84.0,40.0,40.0,20.0,12.0,40.0,34.0,14.0,67.0,24.0,,,5.0,5.0,78.0,22.0,37.0,58.0,5.0,1945.0,2095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1994,1160.0,,,,,,,8.0,65.0,13.0,2.0,13.0,85.0,39.0,41.0,20.0,11.0,40.0,34.0,15.0,67.0,24.0,,,5.0,4.0,79.0,21.0,36.0,59.0,5.0,1940.0,2100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1995,1066.0,,,,,,,8.0,63.0,13.0,2.0,14.0,84.0,39.0,42.0,19.0,11.0,41.0,33.0,15.0,66.0,25.0,,,5.0,4.0,80.0,20.0,37.0,58.0,5.0,1920.0,2095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1996,1129.0,,,,,,,8.0,64.0,14.0,1.0,13.0,86.0,37.0,44.0,19.0,9.0,41.0,33.0,16.0,70.0,23.0,,,5.0,2.0,81.0,19.0,38.0,59.0,3.0,1950.0,2120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1997,1116.0,,,,,,,7.0,64.0,14.0,1.0,13.0,86.0,37.0,45.0,19.0,9.0,41.0,33.0,17.0,70.0,23.0,,,5.0,2.0,82.0,18.0,39.0,57.0,4.0,1975.0,2150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1998,1160.0,,,,,,,7.0,64.0,15.0,1.0,12.0,87.0,37.0,45.0,18.0,8.0,41.0,34.0,18.0,72.0,21.0,,,4.0,3.0,83.0,17.0,39.0,56.0,5.0,2000.0,2190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1999,1270.0,15.0,22.0,29.0,17.0,12.0,5.0,7.0,65.0,16.0,1.0,12.0,87.0,36.0,47.0,17.0,7.0,40.0,34.0,19.0,72.0,22.0,,,4.0,2.0,84.0,16.0,38.0,56.0,5.0,2028.0,2223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2000,1242.0,14.0,22.0,29.0,17.0,13.0,5.0,7.0,65.0,17.0,1.0,11.0,88.0,37.0,46.0,17.0,7.0,39.0,34.0,20.0,71.0,23.0,22.0,1.0,4.0,2.0,85.0,15.0,40.0,54.0,5.0,2057.0,2266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2001,1256.0,13.0,21.0,29.0,18.0,14.0,6.0,7.0,64.0,18.0,1.0,11.0,88.0,35.0,48.0,17.0,6.0,38.0,35.0,21.0,71.0,23.0,22.0,2.0,4.0,1.0,86.0,14.0,42.0,53.0,5.0,2103.0,2324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2002,1325.0,13.0,21.0,28.0,18.0,14.0,6.0,6.0,64.0,18.0,1.0,10.0,89.0,34.0,50.0,16.0,6.0,39.0,34.0,21.0,71.0,23.0,22.0,2.0,4.0,2.0,87.0,13.0,42.0,53.0,5.0,2114.0,2320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2003,1386.0,13.0,20.0,29.0,18.0,14.0,6.0,6.0,63.0,19.0,1.0,10.0,89.0,32.0,52.0,15.0,5.0,38.0,34.0,22.0,71.0,24.0,22.0,2.0,3.0,2.0,88.0,12.0,42.0,53.0,5.0,2137.0,2330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2004,1532.0,12.0,20.0,28.0,19.0,14.0,6.0,7.0,64.0,19.0,1.0,9.0,90.0,31.0,54.0,15.0,5.0,39.0,33.0,24.0,70.0,26.0,24.0,2.0,3.0,1.0,90.0,10.0,45.0,51.0,4.0,2140.0,2349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2005,1636.0,10.0,19.0,29.0,19.0,16.0,7.0,7.0,64.0,20.0,1.0,8.0,91.0,31.0,53.0,16.0,4.0,36.0,33.0,26.0,67.0,29.0,27.0,2.0,3.0,1.0,89.0,11.0,45.0,50.0,5.0,2227.0,2434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2006,1654.0,10.0,19.0,27.0,20.0,16.0,8.0,8.0,64.0,19.0,1.0,9.0,90.0,29.0,56.0,15.0,5.0,36.0,33.0,26.0,63.0,33.0,31.0,2.0,3.0,2.0,89.0,11.0,47.0,48.0,5.0,2248.0,2469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2007,1218.0,10.0,18.0,27.0,19.0,17.0,9.0,7.0,63.0,19.0,1.0,9.0,90.0,28.0,54.0,19.0,5.0,36.0,31.0,28.0,62.0,34.0,32.0,2.0,2.0,2.0,90.0,10.0,48.0,46.0,5.0,2277.0,2521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2008,819.0,13.0,18.0,27.0,17.0,16.0,10.0,7.0,61.0,19.0,1.0,12.0,87.0,29.0,51.0,19.0,7.0,35.0,31.0,28.0,60.0,34.0,32.0,2.0,3.0,3.0,89.0,11.0,48.0,46.0,7.0,2215.0,2519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2009,520.0,13.0,20.0,27.0,17.0,14.0,9.0,7.0,62.0,17.0,1.0,12.0,87.0,30.0,52.0,18.0,8.0,37.0,31.0,24.0,56.0,37.0,34.0,3.0,3.0,4.0,88.0,12.0,49.0,44.0,7.0,2135.0,2438.0,47.0,49.0,4.0,25.0,16.0,10.0,18.0,30.0,30.0,6.0,20.0,4.0,70.0,60.0,9.0,19.0,18.0,1.0,81.0,31.0,3.0,,,,,,,,,,,,,,
US,2010,496.0,13.0,19.0,27.0,18.0,15.0,7.0,6.0,63.0,16.0,1.0,13.0,86.0,30.0,52.0,18.0,8.0,36.0,32.0,25.0,56.0,38.0,35.0,3.0,2.0,3.0,88.0,12.0,51.0,43.0,6.0,2169.0,2392.0,47.0,50.0,3.0,26.0,15.0,11.0,19.0,28.0,30.0,5.0,19.0,5.0,70.0,59.0,10.0,18.0,17.0,1.0,82.0,32.0,2.0,15.0,22.0,6.0,24.0,12.0,2.0,5.0,14.0,46.0,63.0,25.0,,,
US,2011,447.0,13.0,19.0,25.0,18.0,17.0,9.0,6.0,62.0,18.0,1.0,13.0,86.0,30.0,53.0,17.0,8.0,34.0,31.0,28.0,56.0,38.0,36.0,2.0,2.0,4.0,88.0,12.0,50.0,44.0,6.0,2233.0,2480.0,46.0,50.0,4.0,26.0,16.0,11.0,22.0,26.0,30.0,5.0,19.0,6.0,70.0,58.0,10.0,20.0,19.0,1.0,80.0,32.0,3.0,15.0,22.0,6.0,26.0,12.0,2.0,5.0,13.0,48.0,65.0,25.0,,,
US,2012,483.0,11.0,17.0,26.0,19.0,18.0,8.0,7.0,61.0,19.0,1.0,11.0,88.0,30.0,54.0,16.0,7.0,32.0,31.0,30.0,58.0,38.0,36.0,2.0,2.0,3.0,89.0,11.0,51.0,43.0,6.0,2306.0,2505.0,44.0,52.0,4.0,27.0,19.0,11.0,20.0,22.0,30.0,5.0,18.0,7.0,70.0,56.0,12.0,19.0,18.0,1.0,81.0,34.0,3.0,16.0,21.0,5.0,28.0,11.0,1.0,5.0,12.0,50.0,65.0,22.0,,,
US,2013,569.0,8.0,16.0,27.0,20.0,19.0,10.0,6.0,64.0,21.0,1.0,9.0,90.0,29.0,55.0,16.0,5.0,30.0,32.0,33.0,58.0,38.0,36.0,2.0,1.0,2.0,91.0,9.0,49.0,45.0,6.0,2384.0,2598.0,41.0,54.0,5.0,29.0,17.0,11.0,21.0,22.0,29.0,3.0,18.0,8.0,71.0,55.0,14.0,19.0,18.0,2.0,81.0,36.0,4.0,17.0,20.0,6.0,29.0,10.0,2.0,5.0,12.0,53.0,64.0,23.0,,,
US,2014,620.0,8.0,14.0,26.0,21.0,20.0,11.0,6.0,62.0,23.0,1.0,9.0,90.0,28.0,57.0,15.0,4.0,30.0,30.0,36.0,57.0,39.0,38.0,1.0,1.0,2.0,91.0,9.0,49.0,46.0,5.0,2453.0,2657.0,42.0,53.0,5.0,27.0,18.0,10.0,21.0,23.0,28.0,3.0,17.0,7.0,72.0,56.0,14.0,20.0,18.0,1.0,80.0,34.0,4.0,20.0,18.0,6.0,28.0,10.0,2.0,6.0,11.0,56.0,62.0,24.0,,,
US,2015,648.0,8.0,13.0,26.0,21.0,20.0,11.0,6.0,61.0,24.0,1.0,9.0,90.0,27.0,58.0,15.0,4.0,29.0,29.0,38.0,56.0,41.0,40.0,1.0,1.0,2.0,93.0,7.0,51.0,44.0,5.0,2467.0,2687.0,42.0,52.0,5.0,30.0,18.0,10.0,20.0,22.0,27.0,2.0,17.0,8.0,73.0,55.0,16.0,21.0,20.0,1.0,79.0,32.0,4.0,19.0,19.0,5.0,28.0,10.0,2.0,6.0,10.0,55.0,63.0,23.0,,,
US,2016,738.0,7.0,15.0,27.0,21.0,19.0,11.0,6.0,63.0,22.0,1.0,8.0,91.0,27.0,59.0,14.0,3.0,31.0,29.0,37.0,56.0,41.0,39.0,1.0,1.0,2.0,93.0,7.0,52.0,43.0,5.0,2422.0,2640.0,44.0,51.0,5.0,30.0,19.0,9.0,20.0,22.0,27.0,2.0,16.0,8.0,73.0,54.0,18.0,20.0,19.0,1.0,80.0,33.0,4.0,20.0,18.0,5.0,30.0,10.0,2.0,6.0,9.0,58.0,64.0,23.0,,,
US,2017,795.0,7.0,15.0,27.0,21.0,20.0,10.0,6.0,65.0,20.0,1.0,7.0,92.0,26.0,60.0,15.0,4.0,31.0,29.0,37.0,57.0,41.0,39.0,2.0,1.0,2.0,93.0,7.0,55.0,40.0,5.0,2426.0,2631.0,44.0,50.0,5.0,31.0,21.0,9.0,18.0,21.0,26.0,2.0,15.0,8.0,74.0,54.0,19.0,19.0,17.0,1.0,81.0,33.0,4.0,20.0,17.0,6.0,30.0,10.0,2.0,6.0,8.0,58.0,63.0,24.0,,,
US,2018,840.0,7.0,16.0,28.0,22.0,19.0,9.0,7.0,64.0,21.0,1.0,7.0,92.0,25.0,60.0,14.0,4.0,31.0,29.0,36.0,58.0,40.0,39.0,1.0,1.0,2.0,93.0,7.0,56.0,39.0,5.0,2386.0,2588.0,46.0,49.0,5.0,32.0,21.0,9.0,19.0,20.0,25.0,2.0,15.0,8.0,75.0,55.0,18.0,17.0,16.0,1.0,83.0,34.0,4.0,20.0,17.0,6.0,32.0,10.0,2.0,5.0,8.0,59.0,64.0,23.0,,,
US,2019,903.0,7.0,17.0,31.0,21.0,17.0,8.0,7.0,65.0,19.0,1.0,7.0,92.0,23.0,64.0,14.0,3.0,34.0,29.0,33.0,57.0,41.0,39.0,2.0,1.0,1.0,94.0,6.0,61.0,34.0,5.0,2301.0,2509.0,48.0,47.0,5.0,33.0,20.0,9.0,19.0,20.0,23.0,2.0,14.0,7.0,77.0,58.0,19.0,14.0,13.0,1.0,86.0,33.0,4.0,20.0,18.0,5.0,33.0,9.0,2.0,5.0,8.0,60.0,65.0,21.0,,,
US,2020,912.0,7.0,18.0,32.0,21.0,15.0,8.0,6.0,67.0,18.0,1.0,7.0,92.0,22.0,65.0,12.0,3.0,35.0,28.0,34.0,59.0,39.0,38.0,1.0,1.0,1.0,95.0,5.0,63.0,32.0,4.0,2261.0,2480.0,50.0,45.0,5.0,35.0,21.0,8.0,18.0,19.0,22.0,2.0,13.0,7.0,78.0,58.0,19.0,14.0,14.0,1.0,86.0,32.0,4.0,20.0,19.0,5.0,34.0,9.0,2.0,5.0,8.0,61.0,67.0,21.0,,,
US,2021,970.0,7.0,17.0,32.0,21.0,16.0,7.0,6.0,67.0,19.0,1.0,7.0,92.0,21.0,66.0,12.0,3.0,35.0,30.0,33.0,60.0,38.0,37.0,1.0,1.0,1.0,96.0,4.0,64.0,31.0,5.0,2273.0,2480.0,49.0,47.0,4.0,36.0,22.0,8.0,16.0,18.0,21.0,2.0,13.0,7.0,79.0,58.0,20.0,13.0,13.0,1.0,87.0,34.0,4.0,20.0,17.0,5.0,34.0,8.0,2.0,5.0,9.0,61.0,64.0,20.0,,,
US,2022,1022.0,7.0,16.0,32.0,22.0,16.0,8.0,7.0,66.0,19.0,1.0,8.0,91.0,21.0,68.0,11.0,3.0,33.0,29.0,35.0,55.0,43.0,43.0,,1.0,1.0,97.0,3.0,65.0,30.0,4.0,2299.0,2509.0,48.0,47.0,4.0,36.0,21.0,7.0,17.0,19.0,21.0,1.0,12.0,8.0,79.0,59.0,20.0,13.0,12.0,1.0,87.0,35.0,4.0,21.0,17.0,5.0,36.0,8.0,2.0,4.0,7.0,63.0,65.0,19.0,,,
US,2023,999.0,9.0,18.0,30.0,20.0,15.0,8.0,8.0,66.0,17.0,2.0,8.0,90.0,18.0,72.0,10.0,4.0,34.0,28.0,34.0,53.0,45.0,44.0,1.0,1.0,2.0,98.0,2.0,68.0,28.0,4.0,2233.0,2485.0,49.0,46.0,5.0,36.0,21.0,6.0,17.0,20.0,18.0,1.0,10.0,6.0,82.0,61.0,19.0,14.0,13.0,1.0,86.0,34.0,4.0,22.0,18.0,4.0,36.0,8.0,2.0,4.0,6.0,64.0,66.0,18.0,,,
US,2024,1019.0,10.0,21.0,31.0,18.0,13.0,6.0,9.0,65.0,15.0,1.0,9.0,90.0,17.0,74.0,9.0,5.0,33.0,31.0,31.0,52.0,45.0,45.0,1.0,1.0,2.0,98.0,2.0,71.0,25.0,4.0,2146.0,2364.0,47.0,48.0,5.0,39.0,20.0,6.0,17.0,18.0,17.0,2.0,9.0,6.0,83.0,60.0,22.0,13.0,13.0,1.0,87.0,35.0,4.0,20.0,19.0,4.0,37.0,8.0,2.0,4.0,6.0,63.0,68.0,18.0,,,
US,2025,1005.0,11.0,21.0,30.0,18.0,13.0,7.0,10.0,64.0,15.0,2.0,9.0,89.0,16.0,75.0,9.0,4.0,33.0,30.0,32.0,49.0,48.0,48.0,1.0,1.0,3.0,98.0,2.0,73.0,23.0,3.0,2142.0,2378.0,48.0,46.0,5.0,37.0,22.0,6.0,17.0,18.0,16.0,1.0,9.0,5.0,84.0,61.0,22.0,13.0,12.0,1.0,87.0,34.0,4.0,19.0,18.0,4.0,37.0,7.0,2.0,4.0,8.0,62.0,66.0,17.0,,,
West,1971,204.0,,,,,,,14.0,54.0,,24.0,8.0,68.0,15.0,62.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West,1972,239.0,,,,,,,12.0,57.0,,24.0,7.0,69.0,15.0,64.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West,1973,253.0,,,,,,,11.0,66.0,,15.0,7.0,78.0,21.0,59.0,20.0,25.0,57.0,17.0,,86.0,,,,,14.0,41.0,59.0,44.0,49.0,7.0,1575.0,1715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,55.0,29.0
West,1974,191.0,,,,,,,9.0,73.0,,11.0,8.0,81.0,28.0,48.0,23.0,25.0,56.0,20.0,,82.0,,,,,17.0,34.0,66.0,37.0,53.0,10.0,1540.0,1660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,59.0,24.0
West,1975,182.0,,,,,,,9.0,72.0,,12.0,8.0,80.0,33.0,45.0,23.0,26.0,53.0,21.0,,78.0,,,,,21.0,29.0,71.0,34.0,55.0,11.0,1510.0,1635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,57.0,27.0
West,1976,232.0,,,,,,,7.0,79.0,,8.0,5.0,87.0,31.0,48.0,22.0,18.0,59.0,23.0,,82.0,,,,1.0,17.0,29.0,71.0,28.0,63.0,10.0,1565.0,1685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,58.0,29.0
West,1977,311.0,,,,,,,9.0,78.0,,7.0,6.0,87.0,32.0,49.0,19.0,17.0,58.0,25.0,,83.0,,,,1.0,16.0,36.0,64.0,26.0,63.0,11.0,1615.0,1730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,57.0,30.0
West,1978,357.0,,,,,,,9.0,79.0,,8.0,5.0,87.0,31.0,50.0,20.0,17.0,56.0,27.0,,68.0,17.0,,,1.0,14.0,42.0,58.0,29.0,61.0,10.0,1630.0,1740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,57.0,29.0
West,1979,337.0,,,,,,,9.0,75.0,,7.0,9.0,84.0,28.0,50.0,22.0,19.0,56.0,25.0,,62.0,20.0,,,1.0,17.0,46.0,54.0,33.0,58.0,9.0,1625.0,1730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,56.0,26.0
West,1980,233.0,,,,,,,10.0,71.0,,8.0,10.0,82.0,28.0,52.0,21.0,20.0,55.0,24.0,,63.0,20.0,,,,16.0,47.0,53.0,36.0,55.0,9.0,1570.0,1735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,55.0,25.0
West,1981,183.0,,,,,,,11.0,70.0,,10.0,10.0,80.0,23.0,55.0,23.0,22.0,54.0,25.0,,61.0,23.0,,,,15.0,51.0,49.0,39.0,53.0,8.0,1580.0,1735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,53.0,22.0
West,1982,121.0,,,,,,,13.0,65.0,,9.0,13.0,78.0,21.0,55.0,23.0,24.0,54.0,22.0,,54.0,27.0,,,,19.0,53.0,47.0,43.0,51.0,6.0,1595.0,1740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,53.0,19.0
