state,year,homes_millions,avg_total_sqft,avg_heated_sqft,avg_cooled_sqft,pct_single_family,pct_detached,pct_basement,pct_basement_finished_of_basements,pct_finished_basement_all_homes,pct_basement_heated_of_basements,pct_attic,pct_attic_finished_of_attics,pct_attached_garage,pct_garage_1car_of_garages,pct_garage_2car_of_garages,pct_garage_3plus_car_of_garages,pct_stories_1,pct_stories_2,pct_stories_3plus,pct_stories_split_level,pct_heat_furnace,pct_heat_central_heat_pump,pct_heat_mini_split,pct_no_heating,avg_full_baths,pct_2plus_full_baths,pct_owners_count_basement_in_sqft,pct_owners_count_attic_in_sqft,pct_owners_count_garage_in_sqft
NJ,2024,2.213,2352.0,1936.0,1661.0,100.0,84.8,71.3,51.0,36.3,,71.6,18.4,57.9,47.7,48.3,4.0,30.5,60.2,5.3,4.0,,,,,1.83,65.3,31.3,17.4,25.9
NY,2009,3.453,2779.0,2132.0,1053.0,100.0,89.0,84.4,42.5,35.9,40.2,40.7,12.5,44.9,54.0,41.5,4.5,26.4,66.5,3.7,3.4,57.2,0.2,0.0,0.0,1.6,48.4,,,
NY,2020,3.485,2407.0,2041.0,1214.0,100.0,86.2,85.4,50.6,43.2,53.6,59.4,16.8,52.3,44.0,50.8,5.3,29.0,62.0,6.0,3.0,65.6,1.0,0.7,0.0,1.75,56.9,27.5,16.1,21.5
NY,2024,3.665,2377.0,2020.0,1258.0,100.0,88.1,85.1,49.2,41.9,,63.8,18.2,49.6,44.0,51.4,4.5,29.0,61.7,4.3,5.1,,,,,1.76,60.8,27.7,16.3,18.9
PA,2009,3.554,2713.0,2013.0,1408.0,100.0,73.1,83.2,41.1,34.2,46.4,43.1,23.5,50.7,35.0,52.1,12.9,30.9,61.6,4.3,3.2,52.4,9.0,0.0,0.0,1.54,46.1,,,
PA,2020,3.909,2330.0,2016.0,1387.0,100.0,79.0,87.7,54.1,47.5,59.9,60.1,23.2,51.6,42.4,50.8,6.8,27.2,62.8,7.1,2.9,61.1,7.5,1.1,0.2,1.66,53.9,34.0,23.7,17.8
PA,2024,4.077,2386.0,2063.0,1421.0,100.0,75.0,89.8,46.5,41.8,,68.1,18.7,52.2,39.3,54.9,5.8,26.9,65.0,6.6,1.5,,,,,1.66,54.8,33.7,20.3,19.4
TN,2009,1.65,2288.0,2031.0,1923.0,100.0,97.2,18.7,46.8,8.7,46.5,42.9,5.1,46.1,21.3,71.7,7.0,69.1,29.7,1.1,0.0,66.6,20.2,0.0,0.0,1.84,67.1,,,
TN,2020,1.961,2253.0,1931.0,1791.0,100.0,96.5,29.3,52.9,15.5,53.8,74.4,18.1,51.9,18.2,71.6,10.2,66.3,30.3,1.1,2.4,57.2,32.2,1.1,0.4,1.92,70.6,42.0,13.5,24.8
TN,2024,2.153,2147.0,1821.0,1651.0,100.0,93.9,29.7,52.6,15.6,,74.9,18.2,52.0,25.5,61.7,12.8,59.8,37.1,1.0,2.1,,,,,1.98,74.1,52.5,15.8,24.4
